Plot	Trat	PMV	NP
101	1	2375	270
102	2	2250	357
103	3	1625	204
104	4	2500	221
105	5	2250	305
106	6	2125	281
107	7	2500	265
108	8	3500	262
109	9	2625	262
201	7	3750	350
202	2	3500	437
203	6	2500	269
204	9	4125	402
205	3	3875	356
206	1	3375	344
207	8	5500	347
208	4	2750	289
209	5	2875	258
301	6	2375	247
302	2	5500	369
303	1	3250	287
304	8	4500	334
305	9	5250	359
306	5	3875	374
307	7	4625	250
308	4	3500	263
309	3	4750	280
401	3	3500	296
402	4	3500	253
403	7	3750	334
404	1	2750	326
405	8	4625	326
406	5	3875	340
407	9	5375	311
408	6	2625	270
409	2	5000	387
