Plot	Block	Plant	Genotype	Merito	PMV
1_1	1	1	118	3	3.10
1_2	1	2	T1	3	11.30
1_3	1	3	73	3	7.00
1_4	1	4	140	3	6.00
1_5	1	5	97	2	4.10
1_6	1	6	49	2	7.00
1_7	1	7	77	3	5.20
1_8	1	8	84	2	6.40
1_9	1	9	132	2	5.60
1_10	1	10	110	2	7.90
1_11	1	11	T2	2	3.80
1_12	1	12	4	1	3.20
1_13	1	13	19	2	4.60
1_14	1	14	35	2	5.80
1_15	1	15	126	2	3.20
1_16	1	16	7	2	4.90
1_17	1	17	186	2	6.20
1_18	1	18	206	2	3.80
1_19	1	19	45	3	4.40
1_20	1	20	218	2	6.40
1_21	1	21	182	NA	7.50
1_22	1	22	178	2	7.30
1_23	1	23	67	2	8.20
1_24	1	24	79	2	5.60
1_25	1	25	11	4	6.70
1_26	1	26	136	2	8.90
1_27	1	27	29	4	6.10
1_28	1	28	213	4	8.60
1_29	1	29	188	3	5.30
1_30	1	30	40	2	7.90
1_31	1	31	181	2	2.70
1_32	1	32	85	3	5.80
1_33	1	33	60	2	2.30
1_34	1	34	65	2	12.30
1_35	1	35	166	3	1.70
1_36	1	36	55	2	7.10
1_37	1	37	133	2	6.00
1_38	1	38	174	3	7.20
1_39	1	39	20	2	4.80
1_40	1	40	127	4	7.20
1_41	1	41	88	2	3.20
1_42	1	42	24	3	4.70
1_43	1	43	T3	4	9.70
1_44	1	44	58	3	5.40
1_45	1	45	75	2	4.60
2_1	2	1	164	2	3.40
2_2	2	2	18	3	6.20
2_3	2	3	34	3	3.00
2_4	2	4	78	3	3.30
2_5	2	5	42	3	6.10
2_6	2	6	31	2	5.00
2_7	2	7	T1	3	10.70
2_8	2	8	212	2	4.80
2_9	2	9	2	2	2.60
2_10	2	10	59	1	5.90
2_11	2	11	198	2	3.40
2_12	2	12	197	2	5.50
2_13	2	13	199	3	3.90
2_14	2	14	76	3	5.70
2_15	2	15	124	NA	5.20
2_16	2	16	104	3	5.80
2_17	2	17	70	2	4.80
2_18	2	18	39	2	4.90
2_19	2	19	9	2	7.40
2_20	2	20	142	4	5.30
2_21	2	21	T3	3	8.40
2_22	2	22	13	2	5.40
2_23	2	23	165	2	4.10
2_24	2	24	135	3	4.80
2_25	2	25	122	NA	5.20
2_26	2	26	179	2	1.10
2_27	2	27	146	3	7.60
2_28	2	28	123	2	6.20
2_29	2	29	113	3	5.70
2_30	2	30	T2	2	3.70
2_31	2	31	119	2	6.60
2_32	2	32	46	3	4.00
2_33	2	33	99	3	9.30
2_34	2	34	195	3	5.80
2_35	2	35	5	2	7.90
2_36	2	36	128	2	3.20
2_37	2	37	155	2	5.30
2_38	2	38	91	3	4.30
2_39	2	39	64	2	6.70
2_40	2	40	193	2	1.00
2_41	2	41	94	3	7.30
2_42	2	42	28	3	3.50
2_43	2	43	1	3	6.20
2_44	2	44	204	2	4.50
2_45	2	45	82	2	4.60
3_1	3	1	22	3	3.90
3_2	3	2	112	3	0.50
3_3	3	3	148	2	5.10
3_4	3	4	69	2	5.10
3_5	3	5	191	2	5.10
3_6	3	6	115	3	4.10
3_7	3	7	168	3	2.00
3_8	3	8	66	3	6.20
3_9	3	9	62	1	3.30
3_10	3	10	192	2	1.50
3_11	3	11	210	2	2.10
3_12	3	12	89	3	6.40
3_13	3	13	71	2	3.00
3_14	3	14	27	2	4.00
3_15	3	15	72	2	3.90
3_16	3	16	114	2	2.10
3_17	3	17	52	2	2.60
3_18	3	18	T1	3	6.80
3_19	3	19	161	2	2.00
3_20	3	20	137	2	1.70
3_21	3	21	12	4	4.00
3_22	3	22	214	1	4.00
3_23	3	23	138	2	4.50
3_24	3	24	107	2	4.00
3_25	3	25	68	2	5.20
3_26	3	26	63	3	2.60
3_27	3	27	23	3	5.00
3_28	3	28	171	3	5.10
3_29	3	29	T2	3	4.70
3_30	3	30	203	4	4.60
3_31	3	31	101	2	5.40
3_32	3	32	183	2	3.60
3_33	3	33	200	2	3.90
3_34	3	34	50	2	3.20
3_35	3	35	10	2	5.00
3_36	3	36	61	2	4.00
3_37	3	37	141	2	4.00
3_38	3	38	51	4	5.20
3_39	3	39	90	2	1.80
3_40	3	40	37	3	NA
3_41	3	41	14	3	NA
3_42	3	42	53	3	NA
3_43	3	43	172	2	NA
3_44	3	44	144	3	NA
3_45	3	45	T3	3	NA
4_1	4	1	176	3	4.50
4_2	4	2	103	2	4.70
4_3	4	3	154	3	3.50
4_4	4	4	158	2	4.60
4_5	4	5	205	2	2.20
4_6	4	6	120	2	4.60
4_7	4	7	21	3	6.50
4_8	4	8	190	3	3.60
4_9	4	9	134	4	3.70
4_10	4	10	216	2	3.50
4_11	4	11	54	2	2.90
4_12	4	12	81	3	1.80
4_13	4	13	98	3	2.20
4_14	4	14	T3	3	4.80
4_15	4	15	108	2	4.50
4_16	4	16	44	3	4.50
4_17	4	17	33	2	3.70
4_18	4	18	187	3	4.30
4_19	4	19	100	3	5.60
4_20	4	20	162	2	1.10
4_21	4	21	150	3	4.40
